nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000001	Fred Astaire	1899	1987	soundtrack,actor,miscellaneous	tt0053137,tt0031983,tt0050419,tt0072308
nm0000002	Lauren Bacall	1924	2014	actress,soundtrack	tt0071877,tt0038355,tt0117057,tt0037382
nm0000003	Brigitte Bardot	1934	\N	actress,soundtrack,music_department	tt0054452,tt0057345,tt0059956,tt0049189
nm0000004	John Belushi	1949	1982	actor,soundtrack,writer	tt0078723,tt0080455,tt0077975,tt0072562
nm0000005	Ingmar Bergman	1918	2007	writer,director,actor	tt0060827,tt0050976,tt0083922,tt0050986
nm0000006	Ingrid Bergman	1915	1982	actress,soundtrack,producer	tt0034583,tt0036855,tt0038109,tt0038787
nm0000007	Humphrey Bogart	1899	1957	actor,soundtrack,producer	tt0033870,tt0034583,tt0040897,tt0043265
nm0000008	Marlon Brando	1924	2004	actor,soundtrack,director	tt0068646,tt0047296,tt0078788,tt0070849
nm0000009	Richard Burton	1925	1984	actor,soundtrack,producer	tt0057877,tt0059749,tt0061184,tt0087803
nm0000010	James Cagney	1899	1986	actor,soundtrack,director	tt0035575,tt0031867,tt0042041,tt0029870
nm0000011	Gary Cooper	1901	1961	actor,soundtrack,producer	tt0044706,tt0027996,tt0034167,tt0035896
nm0000012	Bette Davis	1908	1989	actress,soundtrack,make_up_department	tt0056687,tt0031210,tt0042192,tt0035140
nm0000013	Doris Day	1922	2019	soundtrack,actress,producer	tt0048317,tt0060463,tt0055100,tt0053172
nm0000014	Olivia de Havilland	1916	\N	actress,soundtrack	tt0041452,tt0031381,tt0029843,tt0040806
nm0000015	James Dean	1931	1955	actor,miscellaneous	tt0048545,tt0049261,tt0043228,tt0048028
nm0000016	Georges Delerue	1925	1992	composer,soundtrack,music_department	tt0069946,tt0091763,tt0096320,tt0057345
nm0000017	Marlene Dietrich	1901	1992	soundtrack,actress,music_department	tt0051201,tt0052311,tt0055031,tt0021156
nm0000018	Kirk Douglas	1916	2020	actor,producer,soundtrack	tt0054331,tt0049456,tt0046672,tt0043338
nm0000019	Federico Fellini	1920	1993	writer,director,assistant_director	tt0047528,tt0050783,tt0071129,tt0053779
nm0000020	Henry Fonda	1905	1982	actor,producer,soundtrack	tt0032551,tt0064116,tt0050083,tt0082846
nm0000021	Joan Fontaine	1917	2013	actress,soundtrack,producer	tt0032976,tt0040536,tt0034248,tt0039504
nm0000022	Clark Gable	1901	1960	actor,soundtrack,producer	tt0026752,tt0023382,tt0025316,tt0031381
nm0000023	Judy Garland	1922	1969	soundtrack,actress	tt0047522,tt0055031,tt0032138,tt0037059
nm0000024	John Gielgud	1904	2000	actor,writer,director	tt0045943,tt0082031,tt0071877,tt0117631
nm0000025	Jerry Goldsmith	1929	2004	music_department,soundtrack,composer	tt0100802,tt0117731,tt0119488,tt0112715
nm0000026	Cary Grant	1904	1986	actor,soundtrack,producer	tt0048728,tt0032599,tt0056923,tt0053125
nm0000027	Alec Guinness	1914	2000	actor,soundtrack,writer	tt0051739,tt0076759,tt0050212,tt0041546
nm0000028	Rita Hayworth	1918	1987	actress,soundtrack,producer	tt0036723,tt0040525,tt0038559,tt0040552
nm0000029	Margaux Hemingway	1954	1996	actress,miscellaneous	tt0102122,tt0074802,tt0110138,tt0077800
nm0000030	Audrey Hepburn	1929	1993	actress,soundtrack	tt0056923,tt0046250,tt0058385,tt0054698
nm0000031	Katharine Hepburn	1907	2003	actress,soundtrack,writer	tt0043265,tt0063227,tt0032904,tt0082846
nm0000032	Charlton Heston	1923	2008	actor,director,writer	tt0070723,tt0063442,tt0052618,tt0049833
nm0000033	Alfred Hitchcock	1899	1980	director,producer,actor	tt0040746,tt0053125,tt0054215,tt0052357
nm0000034	William Holden	1918	1981	actor,soundtrack	tt0072308,tt0043014,tt0046359,tt0074958
nm0000035	James Horner	1953	2015	music_department,soundtrack,composer	tt0120746,tt0120338,tt0120647,tt0499549
nm0000036	Buster Keaton	1895	1966	actor,writer,director	tt0015324,tt0016332,tt0017925,tt0019421
